Country,Full Name,Year,Index
BE,Belgium,2015,70.5
BG,Bulgaria,2015,58
CZ,Czech Republic,2015,53.6
DK,Denmark,2015,76.8
DE,Germany,2015,65.5
EE,Estonia,2015,56.7
IE,Ireland,2015,69.5
EL,Greece,2015,50
ES,Spain,2015,68.3
FR,France,2015,72.6
HR,Croatia,2015,53.1
IT,Italy,2015,62.1
CY,Cyprus,2015,55.1
LV,Latvia,2015,57.9
LT,Lithuania,2015,56.8
LU,Luxembourg,2015,69
HU,Hungary,2015,50.8
MT,Malta,2015,60.1
NL,Netherlands,2015,72.9
AT,Austria,2015,63.3
PL,Poland,2015,56.8
PT,Portugal,2015,56
RO,Romania,2015,52.4
SI,Slovenia,2015,68.4
SK,Slovakia,2015,52.4
FI,Finland,2015,73
SE,Sweden,2015,82.6
UK,United Kingdom,2015,71.5
