Country,Full Name,Year,Index,,,,,,,,,,,,
EU-28,All EU,2005,62,,,,,,,,,,,,
BE,Belgium,2005,66,,,,,,,,,,,,
BG,Bulgaria,2005,56,,,,,,,,,,,,
CZ,Czech Republic,2005,53.6,,,,,,,,,,,,
DK,Denmark,2005,74.6,,,,,,,,,,,,
DE,Germany,2005,60,,,,,,,,,,,,
EE,Estonia,2005,52.2,,,,,,,,,,,,
IE,Ireland,2005,61.9,,,,,,,,,,,,
EL,Greece,2005,46.8,,,,,,,,,,,,
ES,Spain,2005,62.2,,,,,,,,,,,,
FR,France,2005,65.2,,,,,,,,,,,,
HR,Croatia,2005,50.3,,,,,,,,,,,,
IT,Italy,2005,49.2,,,,,,,,,,,,
CY,Cyprus,2005,45.9,,,,,,,,,,,,
LV,Latvia,2005,53.4,,,,,,,,,,,,
LT,Lithuania,2005,55.8,,,,,,,,,,,,
LU,Luxembourg,2005,64.4,,,,,,,,,,,,
HU,Hungary,2005,49.5,,,,,,,,,,,,
MT,Malta,2005,56,,,,,,,,,,,,
NL,Netherlands,2005,67.8,,,,,,,,,,,,
AT,Austria,2005,59.5,,,,,,,,,,,,
PL,Poland,2005,52.4,,,,,,,,,,,,
PT,Portugal,2005,49.9,,,,,,,,,,,,
RO,Romania,2005,49.9,,,,,,,,,,,,
SI,Slovenia,2005,60.8,,,,,,,,,,,,
SK,Slovakia,2005,52.5,,,,,,,,,,,,
FI,Finland,2005,72,,,,,,,,,,,,
SE,Sweden,2005,78.8,,,,,,,,,,,,
UK,United Kingdom,2005,71.2,,,,,,,,,,,,
EU-28,All EU,2010,63.8,,,,,,,,,,,,
BE,Belgium,2010,69.3,,,,,,,,,,,,
BG,Bulgaria,2010,55,,,,,,,,,,,,
CZ,Czech Republic,2010,55.6,,,,,,,,,,,,
DK,Denmark,2010,75.2,,,,,,,,,,,,
DE,Germany,2010,62.6,,,,,,,,,,,,
EE,Estonia,2010,53.4,,,,,,,,,,,,
IE,Ireland,2010,65.4,,,,,,,,,,,,
EL,Greece,2010,48.6,,,,,,,,,,,,
ES,Spain,2010,66.4,,,,,,,,,,,,
FR,France,2010,67.5,,,,,,,,,,,,
HR,Croatia,2010,52.3,,,,,,,,,,,,
IT,Italy,2010,53.3,,,,,,,,,,,,
CY,Cyprus,2010,49,,,,,,,,,,,,
LV,Latvia,2010,55.2,,,,,,,,,,,,
LT,Lithuania,2010,54.9,,,,,,,,,,,,
LU,Luxembourg,2010,61.2,,,,,,,,,,,,
HU,Hungary,2010,52.4,,,,,,,,,,,,
MT,Malta,2010,54.4,,,,,,,,,,,,
NL,Netherlands,2010,74,,,,,,,,,,,,
AT,Austria,2010,58.7,,,,,,,,,,,,
PL,Poland,2010,55.5,,,,,,,,,,,,
PT,Portugal,2010,53.7,,,,,,,,,,,,
RO,Romania,2010,50.8,,,,,,,,,,,,
SI,Slovenia,2010,62.7,,,,,,,,,,,,
SK,Slovakia,2010,53,,,,,,,,,,,,
FI,Finland,2010,73.1,,,,,,,,,,,,
SE,Sweden,2010,80.1,,,,,,,,,,,,
UK,United Kingdom,2010,68.7,,,,,,,,,,,,
EU-28,All EU,2012,65,,,,,,,,,,,,
BE,Belgium,2012,70.2,,,,,,,,,,,,
BG,Bulgaria,2012,56.9,,,,,,,,,,,,
CZ,Czech Republic,2012,56.7,,,,,,,,,,,,
DK,Denmark,2012,75.6,,,,,,,,,,,,
DE,Germany,2012,64.9,,,,,,,,,,,,
EE,Estonia,2012,53.5,,,,,,,,,,,,
IE,Ireland,2012,67.7,,,,,,,,,,,,
EL,Greece,2012,50.1,,,,,,,,,,,,
ES,Spain,2012,67.4,,,,,,,,,,,,
FR,France,2012,68.9,,,,,,,,,,,,
HR,Croatia,2012,52.6,,,,,,,,,,,,
IT,Italy,2012,56.5,,,,,,,,,,,,
CY,Cyprus,2012,50.6,,,,,,,,,,,,
LV,Latvia,2012,56.2,,,,,,,,,,,,
LT,Lithuania,2012,54.2,,,,,,,,,,,,
LU,Luxembourg,2012,65.9,,,,,,,,,,,,
HU,Hungary,2012,51.8,,,,,,,,,,,,
MT,Malta,2012,57.8,,,,,,,,,,,,
NL,Netherlands,2012,74,,,,,,,,,,,,
AT,Austria,2012,61.3,,,,,,,,,,,,
PL,Poland,2012,56.9,,,,,,,,,,,,
PT,Portugal,2012,54.4,,,,,,,,,,,,
RO,Romania,2012,51.2,,,,,,,,,,,,
SI,Slovenia,2012,66.1,,,,,,,,,,,,
SK,Slovakia,2012,52.4,,,,,,,,,,,,
FI,Finland,2012,74.4,,,,,,,,,,,,
SE,Sweden,2012,79.7,,,,,,,,,,,,
UK,United Kingdom,2012,68.9,,,,,,,,,,,,
EU-28,All EU,2015,66.2,,,,,,,,,,,,
BE,Belgium,2015,70.5,,,,,,,,,,,,
BG,Bulgaria,2015,58,,,,,,,,,,,,
CZ,Czech Republic,2015,53.6,,,,,,,,,,,,
DK,Denmark,2015,76.8,,,,,,,,,,,,
DE,Germany,2015,65.5,,,,,,,,,,,,
EE,Estonia,2015,56.7,,,,,,,,,,,,
IE,Ireland,2015,69.5,,,,,,,,,,,,
EL,Greece,2015,50,,,,,,,,,,,,
ES,Spain,2015,68.3,,,,,,,,,,,,
FR,France,2015,72.6,,,,,,,,,,,,
HR,Croatia,2015,53.1,,,,,,,,,,,,
IT,Italy,2015,62.1,,,,,,,,,,,,
CY,Cyprus,2015,55.1,,,,,,,,,,,,
LV,Latvia,2015,57.9,,,,,,,,,,,,
LT,Lithuania,2015,56.8,,,,,,,,,,,,
LU,Luxembourg,2015,69,,,,,,,,,,,,
HU,Hungary,2015,50.8,,,,,,,,,,,,
MT,Malta,2015,60.1,,,,,,,,,,,,
NL,Netherlands,2015,72.9,,,,,,,,,,,,
AT,Austria,2015,63.3,,,,,,,,,,,,
