Name,Address,Type,YearConstructed,AmenityType
Capulet Park Adult Exercise Station #1,40 Capulet Lane,Adult Exercise Stn,2010,
Capulet Park Adult Exercise Station #2,40 Capulet Lane,Adult Exercise Stn,2010,
Capulet Park Adult Exercise Station #3,40 Capulet Lane,Adult Exercise Stn,2010,
Capulet Park Adult Exercise Station #4,40 Capulet Lane,Adult Exercise Stn,2010,
Capulet Park Adult Exercise Station #5,40 Capulet Lane,Adult Exercise Stn,2010,
Stronach Arena,1221 Sanford St,Arena,1965,
Ray Lanctin / Medway Arena,119 Sherwood Forest Sq,Arena,1967,
Carling Arena,675 Grosvenor St,Arena,1963,
Glen Cairn Arena,370 Chippendale Cres,Arena,1963,
Ice Park Arena,99 Brookside St,Arena,,
Lambeth Arena,7112 Beattie St,Arena,1968,
Oakridge Arena,825 Valetta St,Arena,1962,
Silverwood Arena,50 Sycamore St,Arena,1970,
Western Fair Sports Centre,875 Florence St,Arena,,
Thompson Arena,Western Rd & Philip Aziz Ave,Arena,,
Argyle Arena,1948 Wavell St,Arena,1954,
Earl Nichols Arena,799 Homeview Rd,Arena,1984,
Farquharson Arena,411 Tecumseh Ave E,Arena,1954,
Kinsmen Arena,20 Granville St,Arena,1973,
Budweiser Gardens,99 Dundas St,Arena,2003,
Labatt Park Baseball Stadium - Hardball,25 Wilson Ave,Baseball Stadium,1927,Stadium
West Lions Park Baseball Diamond #1 - Fastball,20 Grandville St,Baseball Diamond,2003,Peewee
McMahen Park Baseball Diamond #1 - Peewee,640 Adelaide St N,Baseball Diamond,2010,Other
Kiwanis Park -North Baseball Diamond #2 - Peewee,612 Hale St,Baseball Diamond,2001,Other
Kiwanis Park -North Baseball Diamond #1 - Hardball,612 Hale St,Baseball Diamond,2001,Peewee
East Lions Park Baseball Diamond #1 - Fastball,1731 Churchill Ave,Baseball Diamond,1999,Other
East Lions Park Baseball Diamond #2 - T-Ball,1731 Churchill Ave,Baseball Diamond,1999,Other
Oakridge Optimist Community Park Baseball Diamond #2 - Mosquito,825 Valetta St,Baseball Diamond,2011,Other
Oakridge Optimist Community Park Baseball Diamond #1 - Mosquito,825 Valetta St,Baseball Diamond,2011,Other
Kensington Park Baseball Diamond #1 - Fastball,16 Fernley Ave,Baseball Diamond,2003,Other
Mornington Park Baseball Diamond #1 - Fastball,800 High Holborn St,Baseball Diamond,2014,Other
Mornington Park Baseball Diamond #2 - Fastball,800 High Holborn St,Baseball Diamond,2011,Other
Jorgenson Park Baseball Diamond #1 - Fastball,1308 Norman Ave,Baseball Diamond,2000,Other
Southcrest Park Baseball Diamond #1 - Mosquito,10 Hazelwood Ave,Baseball Diamond,2015,Other
Stronach Stadium - Fastball,1221 Sandford St,Baseball Diamond,1996,Peewee
Stronach Park Baseball Diamond #1 - Fastball,1221 Sandford St,Baseball Diamond,1996,Peewee
Stronach Park Baseball Diamond #2 - Fastball,1221 Sandford St,Baseball Diamond,1996,Peewee
Norm Aldridge Field Baseball Diamond #4 - Hardball,1221 Sandford St,Baseball Diamond,2011,Regular
Stronach Park Baseball Diamond #3 - Hardball,1221 Sandford St,Baseball Diamond,2012,Regular
Southeast Optimist Park Baseball Diamond #1 - Mosquito,237 Deveron Cres,Baseball Diamond,1996,Other
Southeast Optimist Park Baseball Diamond #2 - Mosquito,237 Deveron Cres,Baseball Diamond,1996,Other
Westmount Lions Park Baseball Diamond #1 - Peewee,784 Viscount Rd,Baseball Diamond,1996,Peewee
Huron Heights Park Baseball Diamond #1 - Mosquito,185 McNay St,Baseball Diamond,2011,Other
