Department Name,Measure ID,Measure Name,Frequency,Fiscal Year,Result,Goal,Long Term Goal,Data as of Date,Frequency of Goal,Supports Goal Value,Supports Goal,Dashboard Indicator Value,Dashboard Indicator,Legend
Animal Services,1838,Number of animals sterilized in the community,Annual,2010,6718,3500,,9/30/10 0:00,Annual,0,No,0,No,
Animal Services,1838,Number of animals sterilized in the community,Annual,2011,5019,6100,,9/30/11 0:00,Annual,0,No,0,No,
Animal Services,1838,Number of animals sterilized in the community,Annual,2012,6692,5000,,9/30/12 0:00,Annual,0,No,0,No,
Animal Services,1838,Number of animals sterilized in the community,Annual,2013,6625,6200,,9/30/13 0:00,Annual,1,Yes,0,No,
Animal Services,1838,Number of animals sterilized in the community,Annual,2014,7636,7500,,9/30/14 0:00,Annual,1,Yes,0,No,
Animal Services,1838,Number of animals sterilized in the community,Annual,2015,10182,7500,,9/30/15 0:00,Annual,1,Yes,0,No,
Animal Services,1850,Number of spay/neuters performed at the Animal Center,Annual,2010,3364,4000,,9/30/10 0:00,Annual,0,No,0,No,
Animal Services,1850,Number of spay/neuters performed at the Animal Center,Annual,2011,6036,4000,,9/30/11 0:00,Annual,0,No,0,No,
Animal Services,1850,Number of spay/neuters performed at the Animal Center,Annual,2012,6091,6000,,9/30/12 0:00,Annual,0,No,0,No,
Animal Services,1850,Number of spay/neuters performed at the Animal Center,Annual,2013,6492,6500,,9/30/13 0:00,Annual,0,No,0,No,
Animal Services,1850,Number of spay/neuters performed at the Animal Center,Annual,2014,6140,7500,,9/30/14 0:00,Annual,1,Yes,0,No,
Animal Services,1850,Number of spay/neuters performed at the Animal Center,Annual,2015,6065,5800,,9/30/15 0:00,Annual,1,Yes,0,No,
Animal Services,8409,Percent of shelter live outcomes,Annual,2011,88,83,,9/30/11 0:00,Annual,0,No,0,No,
Animal Services,8409,Percent of shelter live outcomes,Annual,2012,90,90,,9/30/12 0:00,Annual,0,No,0,No,
Animal Services,8409,Percent of shelter live outcomes,Annual,2013,92.58,90,,9/30/13 0:00,Annual,0,No,0,No,
Animal Services,8409,Percent of shelter live outcomes,Annual,2014,94.1,90,,9/30/14 0:00,Annual,0,No,0,No,
Animal Services,8409,Percent of shelter live outcomes,Annual,2015,94.12,90,,9/30/15 0:00,Annual,0,No,0,No,
Animal Services,8411,Percent of sheltered animals returned-to-owner,Annual,2011,17,,,9/30/11 0:00,Annual,0,No,0,No,
