GIS_ID,Name,Address,Type,Year Constructed,POINT_X,POINT_Y
5,West Lions Park Basketball Court #1 - Full,20 Granville St,Full, ,478397.4194,4759371.437
31,West Lions Park Basketball Court #2 - Half,20 Granville St,Half, ,478407.7135,4759382.983
8,Carling Park Basketball Court #2 - Full,675 Grosvenor St,Full, ,480797.2277,4761351.135
9,Carling Park Basketball Court #1 - Full,675 Grosvenor St,Full, ,480791.4695,4761367.421
7,Doidge Park Basketball Court #1 - Full,300 Cromwell St,Full, ,479422.6306,4760986.988
22,Southeast Optimist Park Basketball Court #1 - Full,237 Deveron Cres,Half, ,484074.2226,4755960.511
25,St. Stephen's Park Basketball Court #1 - Half,1030 Mitchell St,Half, ,481777.4668,4753673.485
24,Westminster Optimist Park Basketball Court #1 - Full,650 Osgoode Dr,Full, ,483116.0329,4754421.736
13,Huron Heights Park Basketball Court #1 - Full,185 McNay St,Full, ,481821.5678,4762198.038
16,Culver Park Basketball Court #1 - Full,1735 Culver Dr,Full, ,485117.3092,4761905.234
18,River East Optimist Park Basketball Court #1 - Full,55 Danielle Cres,Full, ,486305.7509,4758067.921
14,Flanders Park Basketball Court #1 - Half,145 Rhine Ave,Half, ,482683.2632,4761853.123
11,Boyle Park Basketball Court #1 - Full,1010 Princess Ave,Full, ,482179.2192,4760546.766
12,Boyle Park Basketball Court #2 - Half,1010 Princess Ave,Half, ,482199.8298,4760548.041
4,Chesham Heights Park Basketball Court #1 - Full,328 Castlegrove Blvd,Full, ,476500.7543,4760321.248
26,Earl Nichols Park and Arena Basketball Court #1 - Half,799 Homeview Rd,Half, ,479385.9413,4754759.272
30,Belvedere Place Park Basketball Court #1 - Full,457 Belvedere Pl,Full, ,472358.9119,4755476.632
6,Piccadilly Park Basketball Court #1 - Half,695 Waterloo St,Half, ,479777.9991,4760217.573
20,Naiomi Almeida Park Basketball Court #1 - Half,828 Deveron Cres,Half, ,484148.682,4757193.361
15,Huronview Park Basketball Court #1 - Half,1345 Bentley Dr,Half, ,483145.9148,4763640.525
3,Huntington Park Basketball Court #1 - Full,63 Meadowridge Rd,Full, ,474780.9971,4759055.366
17,Grampian Woods Basketball Court #1 - Half,265 Bournemouth Dr,Half, ,487983.6767,4759850.956
29,Cresthaven Park Basketball Court #1 - Half,104 Parks Edge Cres,Half, ,474763.4483,4755038.723
2,Ambleside Park Basketball Court #1 - Half,257 Ambleside Dr,Half, ,476078.0237,4762830.988
21,Carroll Park Basketball Court #1 - Full,270 Ellerslie Rd,Full, ,485487.6183,4756283.688
23,Heritage Park Basketball Court #1 - Half,150 Bexhill Dr,Half, ,483683.8376,4754380.436
19,St. Julien Park Basketball Court #1 - Full,15 Tommy Hunter Way,Full, ,483831.4329,4758113.06
10,Carling Heights Optimist Community Centre Basketball Court #1 - Full,656 Elizabeth St,Full, ,481297.0368,4760661.951
27,Highland Woods Basketball Court #1 - Half,324 Highview Ave E,Half, ,479228.3667,4755259.775
36,Richard B. Harrison Park Basketball Court #1 - Half,205 South St,Half, ,480233.2825,4757969.218
37,CNRA Park Basketball Court #1 - Full,325 Egerton St,Full, ,482315.8386,4759131.203
38,Heron Haven Park Basketball Court #1 - Half,204 Skyline Ave,Half, ,477143.6461,4765334.602
39,Ed Blake Park Basketball Court #1 - Full,449 Barker St,Full, ,481051.9687,4762705.334
42,Sugarcreek Park Basketball Court #1 - Full,460 Sugarcreek Trail,Full,2011,477014.9361,4758951.69
44,Kensington Park Basketball Court #1 - Full,16 Fernley Ave,Full,2013,478296.1202,4760068.357
45,Foxfield District Park Basketball Court #1 - Full,2384 Buroak Dr,Full,2013,473481.975,4763881.19
46,Blackacres Park Basketball Court #1,595 Blackacres Park,Full,2914,473490.6924,4761878.989
1,White Oaks Park Basketball Court #1 - Full,1394 Ernest Ave,Full, ,481008.8618,4753310.377
47,Capulet Park Basketball Court #1 - Full,40 Capulet Lane,Full, ,475667.5645,4759290.206
40,Beaverbrook Woods Basketball Court #1 - Half,780 Mapelridge St,Half, ,475215.4086,4759540.998
41,Riverbend Park Basketball Court #1,1585 Riverbend Rd,Full,2011,470279.2602,4757778.452
43,Constitution Park Basketball Court #1 - Full,725 Grenfell Dr,Full,2013,479822.3003,4765188.976
48,White Oaks Park Basketball Court #2 - Full,1394 Ernest Ave,Full, ,480988.8531,4753314.216
49,Powell Park Basketball Court #1 - Full,800 Superior Dr,Full, ,477976.0207,4766204.97
50,Meredith Park Basketball Court #1 - Full,450 Nelson St,Full, ,480978.6269,4758224.526
51,Forest Hill Park Basketball Court #1 - Half,1955 Rollingacres Dr,Half,2017,479383.0083,4766613.11
52,Glen Cairn Park - East Basketball Court #1 - Full,170 Helena Ave,Full,2017,482382.0163,4757084.854
