Facility,Name,Address,POINT_X,POINT_Y
Basketball,West Lions Park Basketball Court #1 - Full,20 Granville St,478397.4194,4759371.437
Basketball,West Lions Park Basketball Court #2 - Half,20 Granville St,478407.7135,4759382.983
Basketball,Carling Park Basketball Court #2 - Full,675 Grosvenor St,480797.2277,4761351.135
Basketball,Carling Park Basketball Court #1 - Full,675 Grosvenor St,480791.4695,4761367.421
Basketball,Doidge Park Basketball Court #1 - Full,300 Cromwell St,479422.6306,4760986.988
Basketball,Southeast Optimist Park Basketball Court #1 - Full,237 Deveron Cres,484074.2226,4755960.511
Basketball,St. Stephen's Park Basketball Court #1 - Half,1030 Mitchell St,481777.4668,4753673.485
Basketball,Westminster Optimist Park Basketball Court #1 - Full,650 Osgoode Dr,483116.0329,4754421.736
Basketball,Huron Heights Park Basketball Court #1 - Full,185 McNay St,481821.5678,4762198.038
Basketball,Culver Park Basketball Court #1 - Full,1735 Culver Dr,485117.3092,4761905.234
Basketball,River East Optimist Park Basketball Court #1 - Full,55 Danielle Cres,486305.7509,4758067.921
Basketball,Flanders Park Basketball Court #1 - Half,145 Rhine Ave,482683.2632,4761853.123
Basketball,Boyle Park Basketball Court #1 - Full,1010 Princess Ave,482179.2192,4760546.766
Basketball,Boyle Park Basketball Court #2 - Half,1010 Princess Ave,482199.8298,4760548.041
Basketball,Chesham Heights Park Basketball Court #1 - Full,328 Castlegrove Blvd,476500.7543,4760321.248
Basketball,Earl Nichols Park and Arena Basketball Court #1 - Half,799 Homeview Rd,479385.9413,4754759.272
Basketball,Belvedere Place Park Basketball Court #1 - Full,457 Belvedere Pl,472358.9119,4755476.632
Basketball,Piccadilly Park Basketball Court #1 - Half,695 Waterloo St,479777.9991,4760217.573
Basketball,Naiomi Almeida Park Basketball Court #1 - Half,828 Deveron Cres,484148.682,4757193.361
Basketball,Huronview Park Basketball Court #1 - Half,1345 Bentley Dr,483145.9148,4763640.525
Basketball,Huntington Park Basketball Court #1 - Full,63 Meadowridge Rd,474780.9971,4759055.366
Basketball,Grampian Woods Basketball Court #1 - Half,265 Bournemouth Dr,487983.6767,4759850.956
Basketball,Cresthaven Park Basketball Court #1 - Half,104 Parks Edge Cres,474763.4483,4755038.723
Basketball,Ambleside Park Basketball Court #1 - Half,257 Ambleside Dr,476078.0237,4762830.988
Basketball,Carroll Park Basketball Court #1 - Full,270 Ellerslie Rd,485487.6183,4756283.688
Basketball,Heritage Park Basketball Court #1 - Half,150 Bexhill Dr,483683.8376,4754380.436
Basketball,St. Julien Park Basketball Court #1 - Full,15 Tommy Hunter Way,483831.4329,4758113.06
Basketball,Carling Heights Optimist Community Centre Basketball Court #1 - Full,656 Elizabeth St,481297.0368,4760661.951
Basketball,Highland Woods Basketball Court #1 - Half,324 Highview Ave E,479228.3667,4755259.775
Basketball,Richard B. Harrison Park Basketball Court #1 - Half,205 South St,480233.2825,4757969.218
Basketball,CNRA Park Basketball Court #1 - Full,325 Egerton St,482315.8386,4759131.203
Basketball,Heron Haven Park Basketball Court #1 - Half,204 Skyline Ave,477143.6461,4765334.602
Basketball,Ed Blake Park Basketball Court #1 - Full,449 Barker St,481051.9687,4762705.334
Basketball,Sugarcreek Park Basketball Court #1 - Full,460 Sugarcreek Trail,477014.9361,4758951.69
Basketball,Kensington Park Basketball Court #1 - Full,16 Fernley Ave,478296.1202,4760068.357
Basketball,Foxfield District Park Basketball Court #1 - Full,2384 Buroak Dr,473481.975,4763881.19
Basketball,Blackacres Park Basketball Court #1,595 Blackacres Park,473490.6924,4761878.989
Basketball,White Oaks Park Basketball Court #1 - Full,1394 Ernest Ave,481008.8618,4753310.377
Basketball,Capulet Park Basketball Court #1 - Full,40 Capulet Lane,475667.5645,4759290.206
Basketball,Beaverbrook Woods Basketball Court #1 - Half,780 Mapelridge St,475215.4086,4759540.998
Basketball,Riverbend Park Basketball Court #1,1585 Riverbend Rd,470279.2602,4757778.452
Basketball,Constitution Park Basketball Court #1 - Full,725 Grenfell Dr,479822.3003,4765188.976
Basketball,White Oaks Park Basketball Court #2 - Full,1394 Ernest Ave,480988.8531,4753314.216
Basketball,Powell Park Basketball Court #1 - Full,800 Superior Dr,477976.0207,4766204.97
Basketball,Meredith Park Basketball Court #1 - Full,450 Nelson St,480978.6269,4758224.526
Basketball,Forest Hill Park Basketball Court #1 - Half,1955 Rollingacres Dr,479383.0083,4766613.11
Basketball,Glen Cairn Park - East Basketball Court #1 - Full,170 Helena Ave,482382.0163,4757084.854
Baseball,Labatt Park Baseball Stadium - Hardball,25 Wilson Ave,478926.8321,4759025.846
Baseball,West Lions Park Baseball Diamond #1 - Fastball,20 Grandville St,478348.9148,4759327.551
Baseball,McMahen Park Baseball Diamond #1 - Peewee,640 Adelaide St N,480984.3119,4760507.27
Baseball,Kiwanis Park -North Baseball Diamond #2 - Peewee,612 Hale St,484205.2424,4760313.959
Baseball,Kiwanis Park -North Baseball Diamond #1 - Hardball,612 Hale St,484255.1798,4760443.059
Baseball,East Lions Park Baseball Diamond #1 - Fastball,1731 Churchill Ave,485011.046,4760483.314
Baseball,East Lions Park Baseball Diamond #2 - T-Ball,1731 Churchill Ave,485075.2121,4760508.849
Baseball,Oakridge Optimist Community Park Baseball Diamond #2 - Mosquito,825 Valetta St,474998.563,4758287.323
Baseball,Oakridge Optimist Community Park Baseball Diamond #1 - Mosquito,825 Valetta St,474948.4685,4758263.15
Baseball,Kensington Park Baseball Diamond #1 - Fastball,16 Fernley Ave,478258.1978,4760073.383
Baseball,Mornington Park Baseball Diamond #1 - Fastball,800 High Holborn St,482291.7493,4761305.967
Baseball,Mornington Park Baseball Diamond #2 - Fastball,800 High Holborn St,482306.2713,4761221.157
Baseball,Jorgenson Park Baseball Diamond #1 - Fastball,1308 Norman Ave,472734.7038,4755806.875
Baseball,Southcrest Park Baseball Diamond #1 - Mosquito,10 Hazelwood Ave,477352.3076,4756604.527
Baseball,Stronach Stadium - Fastball,1221 Sandford St,483400.1904,4763041.272
Baseball,Stronach Park Baseball Diamond #1 - Fastball,1221 Sandford St,483300.3004,4762961.656
Baseball,Stronach Park Baseball Diamond #2 - Fastball,1221 Sandford St,483425.8639,4762944.004
Baseball,Norm Aldridge Field Baseball Diamond #4 - Hardball,1221 Sandford St,483274.0865,4762806.072
Baseball,Stronach Park Baseball Diamond #3 - Hardball,1221 Sandford St,483451.1539,4762828.996
Baseball,Southeast Optimist Park Baseball Diamond #1 - Mosquito,237 Deveron Cres,484008.2507,4755989.963
Baseball,Southeast Optimist Park Baseball Diamond #2 - Mosquito,237 Deveron Cres,484065.8779,4756064.849
Baseball,Westmount Lions Park Baseball Diamond #1 - Peewee,784 Viscount Rd,477177.9808,4755354.369
Baseball,Huron Heights Park Baseball Diamond #1 - Mosquito,185 McNay St,481839.9119,4762287.64
Baseball,Dan Fulham Memorial Baseball Diamond #3 - Hardball,815 Windermere Rd,480117.3167,4763522.351
Baseball,Stoneybrook Recreation Field Baseball Diamond #1 - Hardball,815 Windermere Rd,480015.0236,4763370.295
