date,close,volume,open,high,low
5/22/18,88.54,181259,89.68,90.175,88.23
5/21/18,89.9,93932,89.47,90,88.9
5/18/18,89.2,108174,89.54,89.88,88.92
5/17/18,89.4,149573,88.33,89.67,88.17
5/16/18,88.21,98058,87.99,88.84,87.77
5/15/18,87.91,232604,87.01,88.4,86.76
5/14/18,87.46,145654,88.69,88.9372,87.42
5/11/18,88.53,160434,89.64,90.8003,88.1
5/10/18,89.3,183722,87.69,90.37,87.551
5/9/18,87.77,164425,87.65,88.32,87.06
5/8/18,87.74,137104,87.42,89.14,87.03
5/7/18,87.66,112513,87.11,88.4804,86.88
5/4/18,86.73,170300,86.47,88.82,86.47
5/3/18,86.77,246610,86.99,87.96,85.52
5/2/18,86.65,151300,87.37,87.69,86.18
5/1/18,87.18,311569,88.08,88.3,86.19
4/30/18,88.36,211068,90.08,91.49,88
4/27/18,89.78,107799,88.61,90.04,87.2194
4/26/18,88.48,153276,87.46,88.81,87.29
4/25/18,87.26,173262,87.63,87.97,86.57
4/24/18,87.38,214890,87.97,88.282,86.47
4/23/18,87.97,186350,87.77,89,87.505
4/20/18,87.39,267717,87.96,88.34,86.54
4/19/18,88.17,188771,88.8,88.845,87.02
4/18/18,88.9,191278,90,90.92,88.701
4/17/18,89.75,341727,91.76,91.99,89.53
4/16/18,92.52,455530,90.84,94.1399,90.15
4/13/18,89.49,167314,88.84,90.41,88.3
4/12/18,88.72,177468,88.74,90.03,88.18
4/11/18,88.75,215752,88.2,90.24,88.2
4/10/18,88.7,156940,88.69,89.19,87.85
4/9/18,88,298559,89.15,90.6599,87.3801
4/6/18,89.01,300269,88.64,90.66,87.58
4/5/18,88.75,216447,88.53,89.31,87.4
4/4/18,88.53,287634,84.52,89.03,84.4316
4/3/18,85.27,373608,87.29,87.87,84.85
4/2/18,87,388670,89.35,89.52,86.07
3/29/18,89.02,318284,87.62,89.26,87.211
3/28/18,87.28,216121,86.62,88.52,85.62
3/27/18,86.41,377143,85.68,87.66,83.78
3/26/18,85.69,536800,88.37,88.95,85
3/23/18,87.65,332621,87.47,89.04,87.05
3/22/18,87.27,191147,87.67,88.6,86.75
3/21/18,88.47,208533,88.94,89.5,87.77
3/20/18,88.82,213246,87.94,89.29,87.27
3/19/18,87.95,268701,88.82,89.029,86.82
3/16/18,88.8,349993,88.51,89.73,87.52
3/15/18,89.61,234293,89.87,91.85,89.23
3/14/18,89.84,316469,93.46,93.46,89.43
3/13/18,93.09,454715,92.13,94.5299,89
3/12/18,91.41,623380,90.6,92.27,87.5
3/9/18,90.6,1288394,98.85,100.33,87.7001
3/8/18,98.73,206773,99.42,99.7,97.93
3/7/18,98.88,217027,96.31,99.28,96.31
3/6/18,96.27,251583,95.9,97,94.8
3/5/18,95.84,286586,95.94,97.17,94.425
3/2/18,96.05,273290,96.09,96.93,95.18
3/1/18,96.4,266929,97.45,98.3152,95.08
