"1. In the past 3 months, how often did you participate in physical activities like walking?",2. Are you aware that Toronto Public Health and your Local Health Integration Network offer free exercise and falls prevention programs?,"3. In the past year have you visited a library branch, accessed the library online or contacted the library by telephone?",4. How often do you use the internet?,"5. During the past 3 months, how often did you participate in volunteer or charity work?","6. To get around Toronto, what modes of transportation do you use frequently?  [TTC (bus, subway, or streetcar)]","6. To get around Toronto, what modes of transportation do you use frequently?  [Walk]","6. To get around Toronto, what modes of transportation do you use frequently?  [Drive]","6. To get around Toronto, what modes of transportation do you use frequently?  [Cycle]","6. To get around Toronto, what modes of transportation do you use frequently?  [Taxi or Uber]","6. To get around Toronto, what modes of transportation do you use frequently?  [Community Transportation Program, for example Toronto Ride or iRIDE]","6. To get around Toronto, what modes of transportation do you use frequently?  [Wheel-Trans]","6. To get around Toronto, what modes of transportation do you use frequently?  [Rides from family, friends or neighbours]",7. Do you frequently use the TTC?,"If you answered no to above question, why not?  [I have access to other transportation services that serve me well]","If you answered no to above question, why not?  [It is quicker to drive (it takes less time)]","If you answered no to above question, why not?  [I prefer to drive]","If you answered no to above question, why not?  [TTC is not affordable for me]","If you answered no to above question, why not?  [The nearest TTC stop/station is too far away]","If you answered no to above question, why not?  [The nearest TTC stop/station is not accessible]","If you answered no to above question, why not?  [TTC vehicles are not accessible for me]","If you answered no to above question, why not?  [The TTC is too crowded]","If you answered no to above question, why not?  [TTC announcements are hard to hear]","If you answered no to above question, why not?  [I don't feel safe using the TTC]","8. In the past year, have you had to delay home repairs or modifications because they were unaffordable? [A major home repair such as a new roof, furnace, or plumbing or electrical problems?]","8. In the past year, have you had to delay home repairs or modifications because they were unaffordable? [Modifications to make your home more accessible, for example, converting a bathtub to a shower, a ramp, grab bars in the bathroom, or better lighting to improve visibility?]","8. In the past year, have you had to delay home repairs or modifications because they were unaffordable? [No or not applicable]","9. In the last year, have you had difficulty paying your rent, mortgage, Hydro bill, or other housing costs? For example, have you had to go without groceries to pay for rent or other monthly housing expenses?",10. Which term(s) do you prefer when referring to people aged 65 and older? [Elders],10. Which term(s) do you prefer when referring to people aged 65 and older? [Mature Adults],10. Which term(s) do you prefer when referring to people aged 65 and older? [Older Adults],10. Which term(s) do you prefer when referring to people aged 65 and older? [Older Persons],10. Which term(s) do you prefer when referring to people aged 65 and older? [Older Residents],10. Which term(s) do you prefer when referring to people aged 65 and older? [Older Torontonians],10. Which term(s) do you prefer when referring to people aged 65 and older? [Senior Citizens],10. Which term(s) do you prefer when referring to people aged 65 and older? [Seniors],11. What are your top three concerns related to older persons in Toronto? [Accessibility],11. What are your top three concerns related to older persons in Toronto? [Civic Engagement],11. What are your top three concerns related to older persons in Toronto? [Communication and Information],11. What are your top three concerns related to older persons in Toronto? [Food Access],11. What are your top three concerns related to older persons in Toronto? [Health Care and Home Care Services],11. What are your top three concerns related to older persons in Toronto? [Housing Affordability and Availability],11. What are your top three concerns related to older persons in Toronto? [Income and Employment],11. What are your top three concerns related to older persons in Toronto? [Recreation and Community Services Including Libraries],11. What are your top three concerns related to older persons in Toronto? [Respect and Social Inclusion],11. What are your top three concerns related to older persons in Toronto? [Safety and Security],"11. What are your top three concerns related to older persons in Toronto? [Transportation Issues (for example, pedestrain safety, sidewalks, TTC)]",12. Have you ever used any of the following to learn about City of Toronto/municipal government services for older persons? [City of Toronto website www.toronto.ca],"12. Have you ever used any of the following to learn about City of Toronto/municipal government services for older persons? [Internet search engine, for example Google]","12. Have you ever used any of the following to learn about City of Toronto/municipal government services for older persons? [By calling 311 (information on city services, for example garbage collection)]",12. Have you ever used any of the following to learn about City of Toronto/municipal government services for older persons? [By calling 211 (information on provincial health and community services)],12. Have you ever used any of the following to learn about City of Toronto/municipal government services for older persons? [Local Ward Councillor],12. Have you ever used any of the following to learn about City of Toronto/municipal government services for older persons? [Services for Seniors in Toronto (Service Directory)],"12. Have you ever used any of the following to learn about City of Toronto/municipal government services for older persons? [Posters, brochures, pamphlets]","12. Have you ever used any of the following to learn about City of Toronto/municipal government services for older persons? [Community Agencies, Doctors, Nurses, or Social Workers]","12. Have you ever used any of the following to learn about City of Toronto/municipal government services for older persons? [Faith group, for example, church, Mosque, Temple]",12. Have you ever used any of the following to learn about City of Toronto/municipal government services for older persons? [Word of mouth],13. Do you have people in your life who you can call on for help if you need it?,14. What are the first three characters of your postal code?,15. What is your current employment status?,16. What is your sex/gender?,16. What is your sex/gender? [other],"17. Can you understand, speak or read English? [I understand spoken English]","17. Can you understand, speak or read English? [I speak English]","17. Can you understand, speak or read English? [I read English]","17. Can you understand, speak or read English? [None of the above]",18. In what language(s) would you feel most comfortable to receive services?,18. In what language(s) would you feel most comfortable to receive services? [other],19. Which age category do you belong to?
At least once a day,No,No,At least once a day,Never,1,1,,,,,,,Yes,,,,,,,,,,,,,1,No,,,,,,,,1,,,,,1,1,,,,,1,,,1,,,,1,,,1,Yes, m4S,Retired,Female,,1,1,1,,English,,70-74 years
At least once a week,Yes,Yes,At least a few times a week,,1,,,,,,1,,Yes,,,,,,,,,,,,,,No,,,1,1,,,,,,,,,,,,,,,,,,1,1,,,1,1,1,,Yes, M3h,Retired,,,,,,,,,
At least once a day,No,Yes,At least once a day,At least once a month,1,,1,,,,,,Yes,,,,,,,,,,,,,1,No,,,,,,,,1,,,1,,,1,,,1,,,,,,,,,,,,1,Yes, m6c,Retired,Male,,1,1,1,,English,,70-74 years
At least once a day,No,No,At least once a day,At least once a month,1,1,1,,,,,,No,,1,,,,,,,,,,,1,No,,,,,1,,1,,,,1,,1,,,,1,,,1,1,,,,1,,,,,Yes,1z4,Retired,Female,,1,1,1,,English,,70-74 years
At least once a day,No,Yes,At least once a day,At least once a month,,1,1,,,,,1,No,1,1,1,,,,,,,,,,1,No,,1,1,,,,1,1,,,1,,1,,,1,,,,,,1,,,1,,1,,,Yes,3A9,Retired,Female,,1,1,1,,,,70-74 years
At least once a day,Yes,Yes,At least once a day,Never,,,1,,,,,,No,1,1,1,,1,,,1,,,,,1,No,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,,Yes,3B4,Employed full-time,Male,,,,,1,Farsi,,55-59 years
At least once a day,Yes,Yes,At least once a day,Never,,,1,,,,,,No,,,1,,,,,,,,,,1,No,,,,,,,1,,,,,,,,,,1,,,,,,1,,,,,,,Yes,3w6,Retired,Male,,1,,1,,Greek,,80-84 years
At least a few times each week,Yes,Yes,At least once a day,Never,1,1,1,,,,,,No,,,1,,,,,,,,,,1,No,,,1,,,,,,,,,,1,,1,1,,,,1,1,,,,,,1,,,Yes,4m4,Employed full-time,Female,,1,1,1,,English,,60-64 years
At least once a day,Yes,No,At least once a day,At least once a day,,,,,,,1,,No,1,,,,,,,,,,,,1,Yes,,,,,,,,1,1,,,,1,1,,,,,,,1,,,,,1,,,1,Yes,5X7,Retired,Female,,1,1,1,,English,,70-74 years
At least once a day,No,Yes,At least once a day,At least once a month,,1,,,,,,,No,1,,,,,,,1,,1,,,1,No,,,,,,,,1,1,,,1,1,,,,,,,1,1,,,,,,1,,1,Yes,M4J,Retired,Female,,1,1,1,,English,,65-69 years
At least once a month,No,No,At least a few times a week,Never,,,1,,,,,,No,,1,1,,,,,,,,,1,,No,,,,,,,1,1,,,1,,1,,,,,1,,,,,,,,,,,,Yes,m9c,Retired,Female,,1,1,1,,English,,85 years or older
At least a few times each week,Yes,Yes,At least once a day,Never,1,1,,,,1,1,,No,1,,,,,,,1,,,1,1,,Yes,,,,,,,,1,1,,,,1,,,,,,1,1,1,,,,,,1,,,Yes,i3t,Retired,Female,,1,1,1,,English,,70-74 years
At least a few times each week,No,Yes,At least once a day,Never,1,,,,,,,,Yes,,,,,,,,1,,1,,,1,No,,,,,,,,1,,,,,1,,,1,,,1,,1,,,,,1,,,,No,L,Retired,Female,,1,1,1,,Other,English,70-74 years
At least once a day,No,No,At least once a day,At least once a month,,,1,,,,,,No,1,1,1,,,,,,,,,,1,No,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,Yes,L0G,Employed full-time,,,,,,,,,
At least once a day,No,No,At least once a day,At least once a week,,1,1,,,,,,No,,1,1,,,,,,,,,,1,No,,,,,,,1,,1,,,,1,,,1,,,,,1,,,,,,1,,,Yes,L0J,Retired,Female,,,1,,,,,70-74 years
At least once a day,No,Yes,At least once a day,At least once a week,,1,1,,,,,,No,,1,,,,,,,,,,,1,No,,,,1,,,,,,,,,1,,,,1,1,,,1,,,,,,,,,Yes,l1e,Retired,Male,,1,1,1,,English,,60-64 years
At least once a week,No,No,At least once a day,At least once a week,1,,,,1,,,,No,,,,,,,,,,,,,1,No,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,1,Yes,l1g,Retired,Female,,1,1,1,,English,,70-74 years
At least once a day,Yes,No,At least once a day,At least once a day,,,1,,,,,,No,,1,1,,,,,,,,,,1,,,,,,,,,1,,,,1,,,,,1,,,1,1,,,1,,1,1,,1,Yes,L1G,Retired,Female,,1,1,1,,English,,65-69 years
At least once a day,No,Yes,At least once a day,Never,1,1,1,,,,,,Yes,,,,,,,,,,,,,1,No,,,,1,,,,1,1,,,,1,1,,,,,,1,1,1,1,,,1,1,,,Yes,l1h,Employed full-time,Female,,1,1,1,,English,,Less than 54 years
