ID,physicalActivity,physicalActivityPerMonth,volunteerParticipation,volunteerPerMonth,ttcTransportation,walkTransportation,driveTransportation,cycleTransportation,taxiTransportation,communityRideTransportation,wheelTransTransportation,friendsTransportation,difficultFinancial,supportSystem,postalCode,employmentStatus,sex,primaryLanguage,ageRange,minAgeRange
1,At least once a day,30,Never,0,1,1,,,,,,,No,Yes, m4S,Retired,Female,English,70-74 years,70
2,At least once a week,4,,,1,,,,,,1,,No,Yes, M3h,Retired,,,,
3,At least once a day,30,At least once a month,1,1,,1,,,,,,No,Yes, m6c,Retired,Male,English,70-74 years,70
4,At least once a day,30,At least once a month,1,1,1,1,,,,,,No,Yes,1z4,Retired,Female,English,70-74 years,70
5,At least once a day,30,At least once a month,1,,1,1,,,,,1,No,Yes,3A9,Retired,Female,,70-74 years,70
6,At least once a day,30,Never,0,,,1,,,,,,No,Yes,3B4,Employed full-time,Male,Farsi,55-59 years,55
7,At least once a day,30,Never,0,,,1,,,,,,No,Yes,3w6,Retired,Male,Greek,80-84 years,80
8,At least a few times each week,8,Never,0,1,1,1,,,,,,No,Yes,4m4,Employed full-time,Female,English,60-64 years,60
9,At least once a day,30,At least once a day,30,,,,,,,1,,Yes,Yes,5X7,Retired,Female,English,70-74 years,70
10,At least once a day,30,At least once a month,1,,1,,,,,,,No,Yes,M4J,Retired,Female,English,65-69 years,65
11,At least once a month,1,Never,0,,,1,,,,,,No,Yes,m9c,Retired,Female,English,85 years or older,85
12,At least a few times each week,8,Never,0,1,1,,,,1,1,,Yes,Yes,i3t,Retired,Female,English,70-74 years,70
13,At least a few times each week,8,Never,0,1,,,,,,,,No,No,L,Retired,Female,English,70-74 years,70
14,At least once a day,30,At least once a month,1,,,1,,,,,,No,Yes,L0G,Employed full-time,,,,
15,At least once a day,30,At least once a week,4,,1,1,,,,,,No,Yes,L0J,Retired,Female,,70-74 years,70
16,At least once a day,30,At least once a week,4,,1,1,,,,,,No,Yes,l1e,Retired,Male,English,60-64 years,60
17,At least once a week,4,At least once a week,4,1,,,,1,,,,No,Yes,l1g,Retired,Female,English,70-74 years,70
18,At least once a day,30,At least once a day,30,,,1,,,,,,,Yes,L1G,Retired,Female,English,65-69 years,65
19,At least once a day,30,Never,0,1,1,1,,,,,,No,Yes,l1h,Employed full-time,Female,English,Less than 54 years,54
